node_id,address,leak,manual_address,longitude,latitude,api_check
14001244,"10 Langs de Heij Sittard, The Netherlands",Panama Papers,,5.8690725,51.017214,True
14013293,31 MAIN STREET EDENHAM; BOURNE LINCS; PE10 OLL,Panama Papers,,,,True
14014179,35 Konijnenlaan; Wassenaar; The Netherlands,Panama Papers,,4.3688022,52.12455,True
14017770,4 OF GALON STR.; WOLFRATESHOUSEN 82515; THE NETHERLANDS,Panama Papers,,,,True
14019744,5 Konijnenlaan; Wassenaar; The Netherlands,Panama Papers,,4.3772728,52.1297001,True
14022016,"76A LINDENSTRAAT AMSTERDAM, HOLLAND 1015KC",Panama Papers,,4.8834273,52.379415,True
14025196,Acaciastede 29; 1112 EV Diemen; Netherlands,Panama Papers,,4.9521765,52.3369682,True
14026396,ALBERT VAN'T HARTWEG62 HOLLAND,Panama Papers,,,,True
14026814,Amsteldijk 166; 1079LH Amsterdam; The Netherlands,Panama Papers,,4.9123846,52.3442127,True
14026815,"Amsteldijk 166 suite 1.17, 1079 LH Amsterdam",Panama Papers,,,,True
14026817,"AMSTERDAM, THE NETHERLANDS",Panama Papers,,4.8936041,52.3727598,True
14028300,Arenborg 4; Amsterdam; 1083 CE; Netherlands,Panama Papers,,4.8833306,52.3232949,True
14028303,Argonautenrede 32; 2725 GC Zoetermeer; the Netherlands,Panama Papers,,4.5040894,52.0757912,True
14029447,Avert van Nesstraat 45 10e etage; 3012CA; Rotterdam,Panama Papers,,,,True
14029965,AZALEASTRAAT 9; 5614 GD EINDHOVEN; THE NETHERLANDS,Panama Papers,,5.4905432,51.426523,True
14030391,BARENDRECHT; KOOPLIEDENWEG 10; HOLANDA,Panama Papers,,4.5591639,51.8578392,True
14030599,Beechavenue 129; 1119 RB SchipholRijk; The Netherlands,Panama Papers,,,,True
14030600,BEECHAVENUE 129; 1119RB SCHIPHOL-RIJK; THE NETHERLANDS,Panama Papers,,4.746292,52.2801839,True
14030601,Beechavenue 129; Schiphol-Rijk; 1119RB; Netherlands,Panama Papers,,4.746292,52.2801839,True
14030602,Beechavenue 129; Schipol-Rijk; 1119RB; Netherlands,Panama Papers,,,,True
14030611,Beethoven Straat 141-2; 1077JC; AMSTERDAM-NL,Panama Papers,,,,False
14030778,BERKENLAAN 38; 6133 WZ; SITTARD; THE NETHERLANDS,Panama Papers,,,,False
14030817,Beverenstraat 3; 1066 WD Amsterdam; The Netherlands.,Panama Papers,,,,False
14030860,BINNENDIJK 68; 8244 AH LELYSTAD; THE NETHERLANDS,Panama Papers,,,,False
14031471,BOEKENTVELD 10; 4847SW; TETERINGEN; NEDERLAND,Panama Papers,,,,False
14031583,BOSCHMANSWEG 11; 1871 AW; SCHOORI NETHERLANDS,Panama Papers,,,,False
14031756,BRAZILIELAAN 5; 2051 LS; OVERVEEN; NETHERLANDS,Panama Papers,,,,False
14031822,BRUG. N.P. KREMERLAAN 20; 3214 TD ZUIDLAND; THE NETHERLANDS,Panama Papers,,,,False
14032019,Buitenweide 5; Veghel; 5467 MN; Netherlands,Panama Papers,,,,False
14033132,"C/o NMS Holding BV Parnassustoren Locatellikude, 1 107A2 Amsterdam The Netherlands",Panama Papers,,,,False
14033422,c/o Supermaritime International B.V.; Stationsplein 45; A2-206; PO Box 29072; 3001 GB Rotterdam; The Netherlands,Panama Papers,,,,False
14034915,Caracasbaaiweg 199; P.O. Box 6050; Curacao; Netherlands Antillies,Panama Papers,,,,False
14036007,Churchill-laan 21; HAARLEM 2012 RM; NL,Panama Papers,,,,False
14036207,Claude Debussylaan 24; 1082 MD Amsterdam; The Netherlands,Panama Papers,,,,False
14036208,CLAUDE DEBUSSYLAAN 46; 1082 AMSTERDAM; NETHERLANDS,Panama Papers,,,,False
14036969,CRYSTAL TOWER 24TH FL; ORLYPLEIN 10; 1043 DP AMSTERDAM THE NETHERLANDS,Panama Papers,,,,False
14037033,CURACAO; NETHERLANDS; ANTILLES,Panama Papers,,,,False
14037035,CURACAO TRUST MANAGEMENT N.V. VAN ENGELENWEG 23 P.O. BOX 3335 CURACAO NETHERLANDS  ANTILLES,Panama Papers,,,,False
14037037,CURIESTRAAT 60 1223 JZ HILVERSUM (NL),Panama Papers,,,,False
14037038,"Curiestraat 60 Hilversum, Holland",Panama Papers,,,,False
14037222,DE BOELELAAN 7; AMSTERDAM; NETHERLANDS,Panama Papers,,,,False
14037231,DEDEMSVAARTWEG 1151; 2545 DR´S-GRAVENHAGE; THE NETHERLANDS,Panama Papers,,,,False
14037234,"De Donk 32 4761 JL, Zevenbergen The Netherlands",Panama Papers,,,,False
14037240,De Hooge Krocht 66; 2201TZ Noordwijk; The Netherlands,Panama Papers,,,,False
14037294,De Meeten 5; 4706 NJ; Rosendaal; Netherlands,Panama Papers,,,,False
14037295,"De Meeten 5, 4706NJ Rosendaal - Netherlands",Panama Papers,,,,False
14037296,De Meeten 5; 4706 Roosendaal NJ; THE NETHERLANDS,Panama Papers,,,,False
14037297,DE MEETEN 62; NH 4706; ROSSENDAAL; THE NETHERLANDS,Panama Papers,,,,False
14037298,DE MEETEN 62; NH 4706; ROSSENDAL; THE NETHERLANDS,Panama Papers,,,,False
14037304,DEN HYDER 16; STIPHOUT HELMOND 5708AK; NETHERLANDS,Panama Papers,,,,False
14037312,De Polle 48; 9084 B.T.Goutum; Netherlands,Panama Papers,,,,False
14037547,"DOKKUMLAAN 34 1324 AC ALMERE, THE NETHERLANDS",Panama Papers,,,,False
14037646,Doorneberglaan 23; Ymuiden; 1974 ND; The Netherlands,Panama Papers,,,,False
14037647,Doornweg 14; 3235 NJ Rockanje; Netherlands,Panama Papers,,,,False
14037732,DR KUYPE RSTRAAT 5 251 4 BA DENHAAG HOLLAND,Panama Papers,,,,False
14037754,DRS. W. VAN ROYENSTRAAT 5; 3871 AN HOEVELAKEN; THE NETHERLANDS,Panama Papers,,,,False
14037761,DR. WIBAUTLAAN 11; 3705VN; ZEIST; NETHERLANDS,Panama Papers,,,,False
14037765,Ds. Van den Boschlaan; 32 Rijswijk ZH; 2286PM; Netherlands,Panama Papers,,,,False
14038565,"Esdoornstraat 24 3257 XB, Ooltgensplaat The Netherlands",Panama Papers,,,,False
14039040,Fired Roeskestraat 123; Olympic PIIH; 1076 EE Amsterdam; Netherlands,Panama Papers,,,,False
14042958,FRED ROESKESTRAAT 123; 1076 EE; AMSTERDAM; NETHERLANDS,Panama Papers,,,,False
14043194,Ganzeneiland 23; 6642 DJ Beuningen; The Netherlands,Panama Papers,,,,False
14043195,GANZEWEIDE51; 5643GB; HEERLEN; THE NETHERLANDS,Panama Papers,,,,False
14043196,GANZE WEIDE 51; 6431GB; HEERLEN; THE NETHERLAND,Panama Papers,,,,False
14043267,Gebouw Rivierstaete; Suite 1.17; Amsteldijk 166; 1079 LH Amsterdam; The Netherlands,Panama Papers,,,,False
14043550,Goosse ud Windstr 49; 3062XM; Rotterdam; Netherlands,Panama Papers,,,,False
14043725,Griftstraat 6B; 7311 MB; Apeldoorn; The Netherlands.,Panama Papers,,,,False
14043747,Groesbeekseweg 21; NL-6585 KE MOOK; The Netherlands,Panama Papers,,,,False
14043986,Gustav Mahlerplein 60 ITO-Tow . 7th; 1082MA; Amsterdam,Panama Papers,,,,False
14043987,Gustav Mahlerplein 60; ITO Tower; 7e verdieping; 1082MA Amsterdan,Panama Papers,,,,False
14043988,Gustav Mahlerplein 60-P; 7th Floor ITO Tower; 1082MA Amsterdam; The Netherlands,Panama Papers,,,,False
14043989,Gustav Mahlerplein 60-p; ITO-Tower; 7th floor; 1082 MA; Amsterdam; The Netherlands,Panama Papers,,,,False
14044028,Haaksbergweg 59; 1101 BR Amsterdam ZO; The Netherlands,Panama Papers,,,,False
14044030,"Haarlem, The Netherlands",Panama Papers,,,,False
14044284,HAVENDIJKJE 1; 8081 EG; ELBURG; NETHERLANDS,Panama Papers,,,,False
14044285,HAVENPARK 24; 4301 CD ZIERIKZEE; THE NETHERLANDS,Panama Papers,,,,False
14044331,Heerenveenpad 18; 1324 CC Almere; Netherlands,Panama Papers,,,,False
14044489,Herengracht 182; 1016 BR; Amsterdam; The Netherlands,Panama Papers,,,,False
14044490,"HERENGRACHT 469, 1017 AMSTERDAM THE NETHERLANDS",Panama Papers,,,,False
14044491,"Herenstraat 4B, Den Haag2511 EA S-Gravenhage",Panama Papers,,,,False
14044517,Hertogenbosch. The Netherlands,Panama Papers,,,,False
14044640,Hobbel 7; 5561TN Riethoven; the Netherlands,Panama Papers,,,,False
14044648,"Hoevenseweg 1A 4845 PC, Wagenberg The Netherlands",Panama Papers,,,,False
14044649,"Hoevenseweg 1A 4845 PC, Wagenbrg The Netherlands",Panama Papers,,,,False
14045482,Internally Registered as Holder: ComArt Cooperatief U.A.; registered address: Reinwardtstraat 232; 1093HP Amsterdam; the Netherlands,Panama Papers,,,,False
14045486,Internally Registered as Holder: I; Inc Cooperatief U.A.; registered address: Reinwardtstraat 232 1093HP Amsterdam; the Netherlands,Panama Papers,,,,False
14045487,Internally Registered as Holder: Mixnet B.V.; registered Address: Reinwardtstraat 232; 1093HP Amsterdam; the Netherlands,Panama Papers,,,,False
14045941,Jan Luijkenstraat 8; 1017 CM; Amsterdam; The Netherlands,Panama Papers,,,,False
14045946,JAN VERFAILLEWEG 15; 1783 BW; DEN HELDER; NETHERLANDS,Panama Papers,,,,False
14046441,Johannes Vermeerplein 11 1071 DV; Amsterdam; The Netherlands,Panama Papers,,,,False
14046599,JUFFERSTRAAT 244; 3011XM; ROTTERDAM; THE NETHERLANDS,Panama Papers,,,,False
14046618,"Julius Pergerstraat 24 1087KP AMSTERDAM, NETHERLANDS",Panama Papers,,,,False
14046767,Kamerlingh Onnesstraat 8; 6603AZ Wijchen; The Netherlands,Panama Papers,,,,False
14046771,Kampersingel 34; 2012; DL Haarlem; The Netherlands,Panama Papers,,,,False
14046804,KAPUCIJNENHOF 69; 4904 RA OOSTERHOUT; THE NETHERLANDS,Panama Papers,,,,False
14046892,KAYA RICHARD J BEAUJON CURACAO THE NETHERLANDS,Panama Papers,,,,False
14046924,Keizersgracht 369B; 1016 EJ Amsterdam; The Netherlands,Panama Papers,,,,False
14046968,KERKSTRASD 43 A; 2271 CR VOORBURG; THE NETHERLANDS,Panama Papers,,,,False
14047180,Klagerstuin 47; 1689; JP Zwaag; Netherlands,Panama Papers,,,,False
14047420,KRAAL 36; SLIEDRECHT 3362 WD; THE NETHERLANDS,Panama Papers,,,,False
14047479,Kruisweg 680 2131 MD; Hoofddorp Hollande; The Netherlands,Panama Papers,,,,False
14047593,Laan 1933 # 37; 67 Nx; City; Ede; The Netherlands,Panama Papers,,,,False
14047594,LAAN VAN MECKLENBURG 26; 4818 GD BREADA; THE NETHERLANDS,Panama Papers,,,,False
14048019,Latijns-Amerikalaan 82; 2622 BD Delft; The Netherlands,Panama Papers,,,,False
14048870,Lorentzplein 5; 20 12HG Haarlem; The Netherlands,Panama Papers,,,,False
14049010,Louise de Colignylaan 13B; 2082 BM; Santpoort – Zuid; Netherlands,Panama Papers,,,,False
14049079,Ludgerushof 2; 3632 HA Loenen aan de Vecht; The Netherlands,Panama Papers,,,,False
14049175,M:van Oosternrijklaan 32; 2325 EN Leiderdorp; The Netherlands,Panama Papers,,,,False
14049201,Maassluisstraat 416A; 1062GS; Amsterdam; The Netherlands,Panama Papers,,,,False
14049555,Margaretha van Oostenrijklaan # 32  2353 EN Leiderdorp  The Netherlands,Panama Papers,,,,False
14049687,Matinus Nijhoffstraat 52-1; 1064 HK; Amsterdam.,Panama Papers,,,,False
14049963,MESDAGLAAN 10C; BOSCH EN DUIN; 3735 II; NETHERLANDS,Panama Papers,,,,False
14049964,MESDAGLAAN 10C; BOSCH EN DUIN; 3735 LI; NETHERLANDS,Panama Papers,,,,False
14050106,Midrethstraat 57 3641 CC Mijdrecht,Panama Papers,,,,False
14050315,"Moerasvaren 47 2661 PX Bergschenhoek, The Netherlands",Panama Papers,,,,False
14050326,Molenberglaan 29; 6416 EK Heerlen; The Netherlands.,Panama Papers,,,,False
14050327,Molenkampweg 23; 7971 BN Havelte; The Netherlands,Panama Papers,,,,False
14050328,Molenkampweg 23; BN Havelte 7971; The Netherlands,Panama Papers,,,,False
